5	19	9	15
14	6	15	10
12	10	16	15
4	2	20	13
1	4	19	18
17	15	7	5
16	8	12	17
19	8	15	4
13	14	17	7
20	7	16	1
4	20	6	13
11	16	12	14
8	2	11	10
19	2	17	16
15	13	6	5
2	18	11	3
20	7	5	18
12	4	1	9
11	9	16	17
20	8	13	18
11	16	19	1
20	9	1	16
19	15	1	17
20	17	14	7
20	10	19	5
15	4	12	6
1	15	3	13
13	11	19	1
2	12	11	15
11	2	6	4
5	3	11	6
20	12	13	9
6	5	19	18
20	12	7	11
7	2	1	15
14	16	19	11
8	15	7	4
1	6	13	11
2	20	1	8
12	16	15	13
9	10	14	5
19	11	1	15
14	3	15	7
8	13	18	5
8	3	6	13
19	18	1	3
7	4	17	8
15	20	13	7
4	10	11	14
6	14	19	3
7	10	19	15
10	17	3	18
1	12	5	20
7	20	19	4
4	14	7	13
10	12	3	1
9	1	7	19
16	2	6	1
1	2	17	19
15	8	5	4
13	16	20	5
11	20	13	3
19	20	4	5
15	6	18	10
5	16	4	12
1	7	15	14
19	10	17	11
15	4	16	2
20	8	1	11
12	3	19	5
6	20	16	11
6	10	15	16
14	6	16	12
15	12	6	13
17	9	2	11
4	1	6	15
9	7	11	8
9	3	15	20
4	16	10	7
11	1	6	10
6	17	15	13
10	2	19	15
10	15	2	12
19	2	9	8
16	10	7	11
4	20	8	1
18	12	2	6
3	2	19	1
17	18	9	5
10	19	15	16
3	7	9	18
11	12	5	10
8	16	18	11
2	15	19	17
19	4	11	2
13	7	5	3
14	11	4	16
12	1	13	15
6	5	19	9
3	13	9	11
9	10	3	16
13	3	17	4
8	16	20	19
5	1	15	14
13	16	7	12
20	16	2	19
1	11	17	7
19	17	13	14
5	11	19	3
1	13	16	8
8	5	2	6
15	16	4	13
6	5	17	11
17	3	15	5
7	1	9	10
2	1	10	3
12	6	16	11
15	20	1	11
15	10	12	14
5	12	9	8
8	17	9	6
4	3	7	11
12	11	18	8
16	4	20	18
19	15	3	4
11	3	15	13
16	6	8	20
15	17	20	11
13	20	6	4
14	17	9	18
3	13	8	9
19	17	12	5
5	19	18	17
12	6	20	17
20	2	10	4
